type,Mã trạm/LakeCode,Trạm/Hồ,Tên sông/Lưu vực,Tên tỉnh,Thời gian (UTC),Mực nước (m),Cảnh báo/Xu thế,Cảnh báo value (0-4),Chênh lệch cảnh báo (m),BĐ1 (m),BĐ2 (m),BĐ3 (m),Mực nước lịch sử (m),Năm lũ lịch sử,x,y,Dung tích (m3),Dung tích TK (m3),Tỷ lệ dung tích (%),Q đến (m3/s),Q xả (m3/s),Mực nước BT (m),Mực nước GC (m),Mã Cảnh báo,province_code,basin_code
Lake,9BFF6E76-94E2-4233-B659-258D74A1295F,Trà Xom,Kôn - Hà Thanh,Gia Lai,2025-11-12 19:00,666.1,Len,,,,,,,,108.68348759256403,14.30076530390785,34.25,39.5,86.71,10.81,0.0,668.0,668.72,1.0,52.0,2.0
Lake,9BFF6E76-94E2-4233-B659-258D74A1295F,Trà Xom,Kôn - Hà Thanh,Gia Lai,2025-11-13 19:00,666.22,Len,,,,,,,,108.68348759256403,14.30076530390785,34.58,39.5,87.54,15.49,5.27,668.0,668.72,1.0,52.0,2.0
Lake,9BFF6E76-94E2-4233-B659-258D74A1295F,Trà Xom,Kôn - Hà Thanh,Gia Lai,2025-11-14 19:00,666.17,Xuong,,,,,,,,108.68348759256403,14.30076530390785,34.44,39.5,87.19,7.96,5.27,668.0,668.72,1.0,52.0,2.0
Lake,9BFF6E76-94E2-4233-B659-258D74A1295F,Trà Xom,Kôn - Hà Thanh,Gia Lai,2025-11-15 19:00,666.17,Len,,,,,,,,108.68348759256403,14.30076530390785,34.44,39.5,87.19,9.64,0.0,668.0,668.72,1.0,52.0,2.0
Lake,9BFF6E76-94E2-4233-B659-258D74A1295F,Trà Xom,Kôn - Hà Thanh,Gia Lai,2025-11-16 01:00,666.2,Len,,,,,,,,108.68348759256405,14.30076530390785,34.53,39.5,87.42,8.6,0.0,668.0,668.72,01,52,02
Lake,c9a8c4ca-f1bb-467f-82c4-0999294af8fc,Định Bình,Kôn - Hà Thanh,Gia Lai,2025-11-11 23:55,81.77,Xuong,,,,,,,,108.76481494105248,14.204366335936298,114.418228,226.13,50.6,7.5,0.0,91.93,,1.0,52.0,2.0
Lake,c9a8c4ca-f1bb-467f-82c4-0999294af8fc,Định Bình,Kôn - Hà Thanh,Gia Lai,2025-11-12 23:55,81.64,Xuong,,,,,,,,108.76481494105248,14.204366335936298,113.204315,226.13,50.06,17.0,0.0,91.93,,1.0,52.0,2.0
Lake,c9a8c4ca-f1bb-467f-82c4-0999294af8fc,Định Bình,Kôn - Hà Thanh,Gia Lai,2025-11-13 23:55,81.54,Xuong,,,,,,,,108.76481494105248,14.204366335936298,112.270531,226.13,49.65,88.0,0.0,91.93,,1.0,52.0,2.0
Lake,c9a8c4ca-f1bb-467f-82c4-0999294af8fc,Định Bình,Kôn - Hà Thanh,Gia Lai,2025-11-14 23:55,81.49,Xuong,,,,,,,,108.76481494105248,14.204366335936298,111.8036,226.13,49.44,24.5,0.0,91.93,,1.0,52.0,2.0
Lake,c9a8c4ca-f1bb-467f-82c4-0999294af8fc,Định Bình,Kôn - Hà Thanh,Gia Lai,2025-11-15 07:00,80.98,Xuong,,,,,,,,108.76481494105248,14.204366335936298,107.041275,226.13,47.34,124.0,0.0,91.93,,1.0,52.0,2.0
Lake,c9a8c4ca-f1bb-467f-82c4-0999294af8fc,Định Bình,Kôn - Hà Thanh,Gia Lai,2025-11-15 23:55,80.98,Xuong,,,,,,,,108.76481494105248,14.204366335936298,107.041275,226.13,47.34,124.0,0.0,91.93,,1.0,52.0,2.0
